,estacao,datahora,wspd,wdir,gust,tar,prp,neb,cld,cldcb,vis,tp,datazulu
123,SBUA,2024-12-25 17:00:00,3,5,10,27,0.9,21,BKN,s,7000,TS,2024-12-25 21:00:00
124,SBUA,2024-12-25 20:00:00,0,268,8,25,,2,FEW,n,9999,,2024-12-26 00:00:00
125,SBUA,2024-12-25 23:00:00,2,192,4,25,,3,SCT,n,9999,,2024-12-26 03:00:00
126,SBUA,2024-12-26 02:00:00,3,63,6,24,0.2,19,BKN,n,4000,BR,2024-12-26 06:00:00
127,SBUA,2024-12-26 05:00:00,2,51,6,24,,3,SCT,n,9999,,2024-12-26 09:00:00
128,SBUA,2024-12-26 08:00:00,3,45,10,23,8,14,BKN,s,7000,TS,2024-12-26 12:00:00
129,SBUA,2024-12-26 11:00:00,2,56,9,26,0.8,14,BKN,s,7000,TS,2024-12-26 15:00:00
130,SBUA,2024-12-26 14:00:00,2,74,12,29,0.3,18,SCT,n,7000,,2024-12-26 18:00:00
131,SBUA,2024-12-26 17:00:00,3,41,10,29,,2,FEW,n,9999,,2024-12-26 21:00:00
132,SBUA,2024-12-26 20:00:00,2,184,7,27,,2,FEW,n,9999,,2024-12-27 00:00:00
133,SBUA,2024-12-26 23:00:00,3,144,5,26,0.4,21,BKN,s,7000,TS,2024-12-27 03:00:00
134,SBUA,2024-12-27 02:00:00,6,217,12,23,8,14,BKN,s,7000,TS,2024-12-27 06:00:00
135,SBUA,2024-12-27 05:00:00,3,200,11,23,1.1,21,BKN,s,7000,TS,2024-12-27 09:00:00
136,SBUA,2024-12-27 08:00:00,2,156,6,24,,4,SCT,n,9999,,2024-12-27 12:00:00
137,SBUA,2024-12-27 11:00:00,1,97,8,27,0.4,14,BKN,s,7000,TS,2024-12-27 15:00:00
138,SBUA,2024-12-27 14:00:00,2,30,9,29,0.6,14,BKN,s,7000,TS,2024-12-27 18:00:00
139,SBUA,2024-12-27 17:00:00,1,75,11,27,1.3,21,BKN,s,7000,TS,2024-12-27 21:00:00
140,SBUA,2024-12-27 20:00:00,2,165,6,25,,2,FEW,n,9999,,2024-12-28 00:00:00
141,SBTF,2024-12-22 02:00:00,3,119,6,25,,3,SCT,n,9999,,2024-12-22 06:00:00
142,SBTF,2024-12-22 05:00:00,4,147,11,25,0.5,14,BKN,s,7000,TS,2024-12-22 09:00:00
143,SBTF,2024-12-22 08:00:00,5,141,11,25,0.3,21,BKN,s,7000,TS,2024-12-22 12:00:00
144,SBTF,2024-12-22 11:00:00,5,152,11,26,2,14,BKN,s,7000,TS,2024-12-22 15:00:00
145,SBTF,2024-12-22 14:00:00,1,63,15,25,10,21,BKN,s,7000,TS,2024-12-22 18:00:00
146,SBTF,2024-12-22 17:00:00,3,354,8,27,1.1,19,BKN,n,4000,BR,2024-12-22 21:00:00
147,SBTF,2024-12-22 20:00:00,3,186,6,26,,2,FEW,n,9999,,2024-12-23 00:00:00
148,SBTF,2024-12-22 23:00:00,3,164,6,25,,2,FEW,n,9999,,2024-12-23 03:00:00
149,SBTF,2024-12-23 02:00:00,2,174,6,25,,2,FEW,n,9999,,2024-12-23 06:00:00
150,SBTF,2024-12-23 05:00:00,3,175,6,24,,3,SCT,n,9999,,2024-12-23 09:00:00
151,SBTF,2024-12-23 08:00:00,4,166,9,26,,3,SCT,n,9999,,2024-12-23 12:00:00
152,SBTF,2024-12-23 11:00:00,3,101,12,29,0.4,14,BKN,s,7000,TS,2024-12-23 15:00:00
153,SBTF,2024-12-23 14:00:00,3,57,19,28,4.6,21,BKN,s,7000,TS,2024-12-23 18:00:00
154,SBTF,2024-12-23 17:00:00,3,20,13,27,1,18,SCT,n,7000,,2024-12-23 21:00:00
155,SBTF,2024-12-23 20:00:00,3,338,8,26,,2,FEW,n,9999,,2024-12-24 00:00:00
156,SBTF,2024-12-23 23:00:00,3,304,5,26,,2,FEW,n,9999,,2024-12-24 03:00:00
157,SBTF,2024-12-24 02:00:00,3,236,6,26,,3,SCT,n,9999,,2024-12-24 06:00:00
158,SBTF,2024-12-24 05:00:00,5,204,10,25,0.2,14,BKN,s,7000,TS,2024-12-24 09:00:00
159,SBTF,2024-12-24 08:00:00,3,195,10,26,,4,SCT,n,9999,,2024-12-24 12:00:00
160,SBTF,2024-12-24 11:00:00,0,260,10,29,0.4,14,BKN,s,7000,TS,2024-12-24 15:00:00
161,SBTF,2024-12-24 14:00:00,6,10,15,27,2,21,BKN,s,7000,TS,2024-12-24 18:00:00
162,SBTF,2024-12-24 17:00:00,4,356,14,28,0.3,18,SCT,n,7000,,2024-12-24 21:00:00
163,SBTF,2024-12-24 20:00:00,3,45,9,26,0.8,21,BKN,s,7000,TS,2024-12-25 00:00:00
164,SBTF,2024-12-24 23:00:00,0,150,7,25,0.2,18,SCT,n,7000,,2024-12-25 03:00:00
165,SBTF,2024-12-25 02:00:00,1,66,3,25,,2,FEW,n,9999,,2024-12-25 06:00:00
166,SBTF,2024-12-25 05:00:00,1,74,3,25,0.3,21,BKN,s,7000,TS,2024-12-25 09:00:00
167,SBTF,2024-12-25 08:00:00,4,26,9,26,0.4,21,BKN,s,7000,TS,2024-12-25 12:00:00
168,SBTF,2024-12-25 11:00:00,5,29,13,29,0.3,18,SCT,n,7000,,2024-12-25 15:00:00
169,SBTF,2024-12-25 14:00:00,4,3,13,31,0.4,21,BKN,s,7000,TS,2024-12-25 18:00:00
170,SBTF,2024-12-25 17:00:00,4,85,15,26,3.5,21,BKN,s,7000,TS,2024-12-25 21:00:00
171,SBTF,2024-12-25 20:00:00,2,114,9,26,,2,FEW,n,9999,,2024-12-26 00:00:00
172,SBTF,2024-12-25 23:00:00,2,147,5,25,,2,FEW,n,9999,,2024-12-26 03:00:00
173,SBTF,2024-12-26 02:00:00,5,150,11,24,10,14,BKN,s,7000,TS,2024-12-26 06:00:00
174,SBTF,2024-12-26 05:00:00,3,149,10,24,3.6,14,BKN,s,7000,TS,2024-12-26 09:00:00
175,SBTF,2024-12-26 08:00:00,4,93,11,24,4.4,14,BKN,s,7000,TS,2024-12-26 12:00:00
176,SBTF,2024-12-26 11:00:00,5,46,13,27,0.5,20,BKN,n,4000,BR,2024-12-26 15:00:00
177,SBTF,2024-12-26 14:00:00,5,24,14,29,0.6,21,BKN,s,7000,TS,2024-12-26 18:00:00
178,SBTF,2024-12-26 17:00:00,3,49,14,29,0.4,18,SCT,n,7000,,2024-12-26 21:00:00
179,SBTF,2024-12-26 20:00:00,1,169,7,27,,2,FEW,n,9999,,2024-12-27 00:00:00
180,SBTF,2024-12-26 23:00:00,3,117,9,25,9,21,BKN,s,7000,TS,2024-12-27 03:00:00
181,SBTF,2024-12-27 02:00:00,3,125,7,25,0.4,19,BKN,n,4000,BR,2024-12-27 06:00:00
182,SBTF,2024-12-27 05:00:00,2,199,7,24,4.6,21,BKN,s,7000,TS,2024-12-27 09:00:00
183,SBTF,2024-12-27 08:00:00,3,93,7,25,1.8,21,BKN,s,7000,TS,2024-12-27 12:00:00
184,SBTF,2024-12-27 11:00:00,2,45,10,28,0.2,19,BKN,n,4000,BR,2024-12-27 15:00:00
185,SBTF,2024-12-27 14:00:00,4,28,12,30,0.2,21,BKN,s,7000,TS,2024-12-27 18:00:00
186,SBTF,2024-12-27 17:00:00,1,55,12,28,1.1,21,BKN,s,7000,TS,2024-12-27 21:00:00
187,SBTF,2024-12-27 20:00:00,1,61,6,26,0.7,21,BKN,s,7000,TS,2024-12-28 00:00:00
188,SBMY,2024-12-22 02:00:00,2,166,8,25,2.7,14,BKN,s,7000,TS,2024-12-22 06:00:00
189,SBMY,2024-12-22 05:00:00,2,183,9,24,2.3,14,BKN,s,7000,TS,2024-12-22 09:00:00
